question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_response_size,rag_token_count,rag_gpu_memory_used_nvml,rag_gpu_utilization_nvml,rag_gpu_memory_used_smi,rag_gpu_utilization_smi,rag_gpu_utilization_torch_diff,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_response_size,no_context_token_count,no_context_gpu_memory_used_nvml,no_context_gpu_utilization_nvml,no_context_gpu_memory_used_smi,no_context_gpu_utilization_smi,no_context_gpu_utilization_torch_diff
"""How to fix Apple HomePods AirPlay connection dropping frequently?""",0.0,0.9801297187805176,1.0202731136894883,5.8,481,93,0.0,-22,0.0,-22.0,0.0,0.0,2.231494665145874,1.3443903975472082,5.95,1633,321,0.0,0,0.0,0.0,0.0
"""Why is Apple HomePod not recognizing commands for multi-room audio?""",0.0,1.1256091594696045,0.8884078381798247,6.050000000000001,565,117,0.0,-1,0.0,-1.0,0.0,0.0,2.2110400199890137,1.356827543996542,6.25,1651,322,0.0,-20,0.0,-20.0,0.0
"""What if Apple HomePod is not displaying correct location-based updates?""",0.0,0.585578203201294,1.7077138365685522,5.4,196,37,0.0,-21,0.0,-21.0,0.0,0.0,2.2647218704223633,1.7662212972995688,6.1,1863,335,0.0,0,0.0,0.0,0.0
"""How to disable the drop-in feature on Apple HomePod?""",0.0,0.6143984794616699,1.627608194727869,5.45,238,43,0.0,-27,0.0,-27.0,0.0,0.0,1.3763678073883057,0.7265499778708736,5.95,896,191,0.0,0,0.0,-23.0,0.0
"""How to disable third-party app integrations for privacy on Apple HomePod?""",0.0,0.6904339790344238,1.4483644061062975,5.55,310,55,0.0,0,0.0,0.0,0.0,0.0,1.7211778163909912,1.161994990264055,6.0,1249,243,0.0,-23,0.0,-23.0,0.0
"""How to disable third-party skill integrations on Apple HomePod?""",0.0,0.7431657314300537,2.691189751378083,5.5,366,61,0.0,-15,0.0,-15.0,0.0,0.0,0.5633339881896973,0.0,6.0,401,71,0.0,0,0.0,0.0,0.0
"""How to fix ecobee SmartThermostat not connecting to Wi-Fi?""",0.0,1.203476905822754,2.4927773731968657,5.85,570,129,0.0,-11,0.0,-11.0,0.0,0.0,2.664557456970215,0.7505936848042657,5.95,2025,384,0.0,-18,0.0,-18.0,0.0
"""How to fix ecobee SmartThermostat that keeps restarting?""",0.0,1.0567002296447754,0.9463421810141183,5.95,594,109,0.0,-13,0.0,-13.0,0.0,0.0,2.2774202823638916,0.8781866111792151,6.0,1659,324,0.0,-9,0.0,-9.0,0.0
"""Why is the ecobee SmartThermostat not responding to app commands?""",0.0,1.8988063335418701,1.5799399585970382,6.15,1184,225,0.0,0,0.0,0.0,0.0,0.0,2.7709786891937256,1.4435332958709892,6.0,2187,405,0.0,-21,0.0,-21.0,0.0
"""How to fix ecobee SmartThermostat that wont connect to the ecobee app?""",0.0,0.687798261642456,1.4539146952942423,5.8,238,52,0.0,0,0.0,0.0,0.0,0.0,2.3436570167541504,1.7067343776863289,6.05,1645,343,0.0,-22,0.0,-22.0,0.0
"""How to fix ecobee SmartThermostat that is showing No Signal?""",0.0,0.6611924171447754,1.5124190388003123,5.800000000000001,231,49,0.0,-11,0.0,-11.0,0.0,0.0,3.013988494873047,0.995358809465687,6.05,2213,441,0.0,-5,0.0,-5.0,0.0
"""What if ecobee SmartThermostat is not detecting occupancy?""",0.0,0.5598595142364502,0.0,5.25,164,28,0.0,-7,0.0,-7.0,0.0,0.0,2.2118685245513916,1.3563193140552476,5.85,1685,309,0.0,-18,0.0,-18.0,0.0
"""How to fix ecobee SmartThermostat that wont power on after a reset?""",0.0,0.6419076919555664,0.0,5.75,243,48,0.0,-21,0.0,-21.0,0.0,0.0,3.2238237857818604,1.5509532568286033,6.1,2283,471,0.0,-21,0.0,-21.0,0.0
"""How to troubleshoot ecobee SmartThermostat displaying inaccurate humidity readings?""",0.0,0.5876169204711914,1.7017889804771664,5.05,179,35,0.0,-21,0.0,-21.0,0.0,0.0,3.308241844177246,1.2091014467519636,6.05,2445,468,0.0,0,0.0,-23.0,0.0
"""How to fix ecobee SmartThermostat that is stuck in Calibrating mode?""",0.0,0.623572826385498,3.2073238527612493,5.300000000000001,212,43,0.0,-3,0.0,-3.0,0.0,0.0,2.212489604949951,0.9039590493555535,5.95,1604,302,0.0,0,0.0,0.0,0.0
"""What if ecobee SmartThermostat is not connecting to Google Assistant?""",0.0,0.6520898342132568,0.0,5.45,248,49,0.0,-2,0.0,-2.0,0.0,0.0,2.1947021484375,1.3669280827633565,5.85,1632,314,0.0,-21,0.0,-21.0,0.0
"""What if ecobee SmartThermostat is not connecting to Alexa after Wi-Fi update?""",0.0,0.6861109733581543,1.4574901711676818,5.75,236,51,0.0,-3,0.0,-3.0,0.0,0.0,2.6310293674468994,1.52031750367029,5.65,1987,387,0.0,-21,0.0,-21.0,0.0
"""How to fix ecobee SmartThermostat that keeps entering Test mode?""",0.0,0.6013221740722656,1.6630020363753013,5.449999999999999,204,40,0.0,-21,0.0,-21.0,0.0,0.0,2.174021005630493,1.839908625371967,6.2,1509,305,0.0,0,0.0,-23.0,0.0
"""What if ecobee SmartThermostat is not updating location settings?""",0.0,0.506464958190918,1.9744702645801593,5.35,131,24,0.0,-7,0.0,-7.0,0.0,0.0,2.432001829147339,0.822367802536071,5.8,1848,349,0.0,-7,0.0,-7.0,0.0
"""Why is ecobee SmartThermostat not sending alerts to the app?""",0.0,0.5242924690246582,1.9073323747337092,5.4,141,28,0.0,-12,0.0,-12.0,0.0,0.0,2.1782901287078857,1.8363026794658355,6.0,1683,310,0.0,0,0.0,0.0,0.0
"""How to limit data sharing between ecobee SmartThermostat and other smart devices?""",0.0,0.5600972175598145,1.7854043345484178,5.4,207,36,0.0,-1,0.0,-1.0,0.0,0.0,2.0946645736694336,0.9548068101885699,5.95,1647,298,0.0,-14,0.0,-14.0,0.0
"""How to ensure data privacy when linking ecobee SmartThermostat with new smart devices?""",0.0,0.5989739894866943,1.6695215778192414,5.699999999999999,237,40,0.0,-8,0.0,-8.0,0.0,0.0,2.8653404712677,1.3959946610569423,6.0,2335,416,0.0,-16,0.0,-16.0,0.0
"""How to protect ecobee SmartThermostat during a network transition?""",0.0,0.5704951286315918,1.7528633459122318,5.55,196,38,0.0,-9,0.0,-9.0,0.0,0.0,2.883183002471924,1.3873555707600438,5.95,2211,425,0.0,-12,0.0,-12.0,0.0
"""How to avoid unauthorized ecobee SmartThermostat control via deprecated integrations?""",0.0,0.5848093032836914,1.7099591172464828,5.4,197,33,0.0,-1,0.0,-1.0,0.0,0.0,1.9060454368591309,1.5739393940910722,6.15,1536,277,0.0,-11,0.0,-11.0,0.0
"""How to control linked voice assistants for ecobee SmartThermostat security?""",0.0,0.5887928009033203,1.6983903309714565,5.699999999999999,211,39,0.0,-3,0.0,-3.0,0.0,0.0,2.7493460178375244,1.0911685835600058,5.949999999999999,2088,398,0.0,0,0.0,0.0,0.0
"""How to revoke access for unauthorized mobile devices from ecobee SmartThermostat?""",0.0,0.5177912712097168,1.9312801424085404,5.35,139,28,0.0,-17,0.0,-17.0,0.0,0.0,2.2170355319976807,1.8042110477120015,6.15,1601,320,0.0,0,0.0,0.0,0.0
"""How to ensure secure pairing of ecobee SmartThermostat with smart home devices?""",0.0,0.665529727935791,1.5025624822231676,5.5,248,45,0.0,-4,0.0,-4.0,0.0,0.0,2.9840004444122314,1.340482374086296,5.65,2380,438,0.0,-2,0.0,-2.0,0.0
"""How to restrict ecobee SmartThermostat pairing to trusted devices only?""",0.0,0.5743634700775146,0.0,5.6,212,33,0.0,-10,0.0,-10.0,0.0,0.0,1.7941174507141113,1.1147542203573428,6.0,1358,260,0.0,-21,0.0,-21.0,0.0
"""How to prevent unauthorized control of ecobee SmartThermostat via smart hubs?""",0.0,0.9061763286590576,1.103537985239122,5.55,442,76,0.0,-21,0.0,-21.0,0.0,0.0,2.530153751373291,1.185698694544263,6.2,1932,362,0.0,-11,0.0,-11.0,0.0
"""How to ensure ecobee SmartThermostat firmware is updated securely?""",0.0,1.5128402709960938,0.6610083160610772,5.85,876,165,0.0,-27,0.0,-27.0,0.0,0.0,3.6309690475463867,1.10163428760239,5.95,2803,527,0.0,-12,0.0,-12.0,0.0
"""What if Google Nest Hub is not showing calendar events?""",0.0,0.6296451091766357,1.588196248053868,5.699999999999999,261,42,0.0,-16,0.0,-16.0,0.0,0.0,3.10537052154541,1.610113822266725,5.9,2422,446,0.0,-11,0.0,-11.0,0.0
"""How to resolve Google Nest Hub not detecting my phone?""",0.0,0.607572078704834,1.6458952526776882,5.65,216,40,0.0,-27,0.0,-27.0,0.0,0.0,2.1929514408111572,1.3680193478842435,5.95,1612,311,0.0,0,0.0,0.0,0.0
"""How to fix Google Nest Hub not connecting to Chromecast?""",0.0,0.6804084777832031,2.939410758836892,5.6,270,50,0.0,0,0.0,-26.0,0.0,0.0,2.043294668197632,0.9788113438207574,5.95,1521,290,0.0,-21,0.0,-21.0,0.0
"""What if Google Nest Hub is not showing upcoming events?""",0.0,0.5301382541656494,0.0,5.65,185,29,0.0,-21,0.0,-21.0,0.0,0.0,2.9348347187042236,1.3629387626183447,5.95,2332,418,0.0,-8,0.0,-8.0,0.0
"""How to resolve Google Nest Hub freezing during video playback?""",0.0,0.6027021408081055,1.6591943719645612,5.6,238,40,0.0,-27,0.0,-27.0,0.0,0.0,2.562714099884033,1.5608451993068984,5.95,1993,362,0.0,0,0.0,0.0,0.0
"""Why is Google Nest Hub not connecting to my TV?""",0.0,0.6827070713043213,1.4647570561841219,5.7,292,54,0.0,-13,0.0,-13.0,0.0,0.0,2.6732232570648193,1.496320963626534,6.0,2045,377,0.0,-4,0.0,-4.0,0.0
"""What if Google Nest Hub is not responding to broadcast messages?""",0.0,0.577833890914917,1.7306011567034336,5.55,213,35,0.0,-27,0.0,-27.0,0.0,0.0,1.8428077697753906,1.085300394757599,5.800000000000001,1398,260,0.0,-21,0.0,-21.0,0.0
"""Why is Google Nest Hub not connecting to smart locks?""",0.0,0.8288173675537109,1.206538423478435,5.75,441,76,0.0,-17,0.0,-17.0,0.0,0.0,1.8144383430480957,1.6534042126559987,5.95,1387,254,0.0,-16,0.0,-16.0,0.0
"""What if Google Nest Hub is not connecting to my printer?""",0.0,0.6789021492004395,0.0,5.65,320,54,0.0,-18,0.0,-18.0,0.0,0.0,2.3950679302215576,1.6700987681923782,6.0,1874,358,0.0,-14,0.0,-14.0,0.0
"""Why is Google Nest Hub showing the wrong location?""",0.0,0.7175517082214355,1.3936277881331476,5.7,364,59,0.0,-21,0.0,-21.0,0.0,0.0,2.117361307144165,1.416857855047151,5.95,1646,301,0.0,-11,0.0,-11.0,0.0
"""Why is Google Nest Hub not playing audio from Google Podcasts?""",0.0,0.7637660503387451,1.3093014537059897,5.65,365,65,0.0,-23,0.0,-23.0,0.0,0.0,2.4733169078826904,1.2129460605870208,5.95,1797,358,0.0,-1,0.0,-1.0,0.0
"""How to disable Google Nest Hubs ability to remember connected Bluetooth devices?""",0.0,0.568044900894165,1.7604242172166353,5.25,231,35,0.0,0,0.0,-27.0,0.0,0.0,2.1403958797454834,1.8688131657568583,5.9,1543,301,0.0,0,0.0,0.0,0.0
"""How to manage device access logs on Google Nest Hub for security?""",0.0,0.5487546920776367,1.82230788080136,5.6,234,35,0.0,-18,0.0,-18.0,0.0,0.0,2.4613969326019287,1.6250934365842875,6.0,1947,358,0.0,0,0.0,0.0,0.0
"""How to prevent Google Nest Hub from accessing linked payment methods?""",0.0,0.5813448429107666,1.7201494297134339,5.65,233,37,0.0,-26,0.0,-26.0,0.0,0.0,1.5587844848632812,1.9245765076135057,5.95,1239,220,0.0,0,0.0,0.0,0.0
"""Why should I regularly check linked devices on Google Nest Hub?""",0.0,0.676640510559082,1.4778896391737617,5.45,343,48,0.0,-18,0.0,-18.0,0.0,0.0,2.1200673580169678,1.415049379754457,6.25,1910,298,0.0,-9,0.0,-9.0,0.0
"""Why is Honeywell thermostat not detecting the HVAC system?""",0.0,0.89420485496521,1.118311977896181,5.6,402,82,0.0,0,0.0,-26.0,0.0,0.0,3.062403678894043,1.3061635301602867,6.2,2422,445,0.0,-21,0.0,-21.0,0.0
"""Why is Honeywell thermostat not updating firmware?""",0.0,0.6298422813415527,1.5876990631218495,5.75,238,43,0.0,-21,0.0,-21.0,0.0,0.0,2.1502790451049805,1.8602236807850236,5.95,1637,307,0.0,-21,0.0,-21.0,0.0
"""How to fix Honeywell thermostat not showing outdoor temperature?""",0.0,0.5753917694091797,1.7379463057433284,5.55,219,38,0.0,-5,0.0,-5.0,0.0,0.0,2.554715633392334,1.5657319929140632,5.95,1933,353,0.0,-8,0.0,-8.0,0.0
"""Why is Honeywell thermostat showing no power to the RH wire?""",0.0,0.8734476566314697,1.144888296863022,5.75,394,77,0.0,-14,0.0,-14.0,0.0,0.0,1.9697315692901611,1.5230501692579532,5.95,1475,285,0.0,0,0.0,0.0,0.0
"""How to troubleshoot Honeywell thermostat that is unresponsive after a firmware update?""",0.0,0.6529436111450195,1.531525820807365,5.699999999999999,251,46,0.0,-15,0.0,-15.0,0.0,0.0,2.0870208740234375,1.4374556753793268,5.95,1550,294,0.0,-9,0.0,-9.0,0.0
"""What if Honeywell thermostat is not detecting a C-wire?""",0.0,0.6572308540344238,1.5215353841978965,5.7,234,48,0.0,0,0.0,0.0,0.0,0.0,1.9419267177581787,1.5448574719974941,5.85,1430,277,0.0,-21,0.0,-21.0,0.0
"""How to troubleshoot Honeywell thermostat that is not saving schedule changes?""",0.0,0.8150267601013184,2.453907157295245,5.6,370,72,0.0,-3,0.0,-3.0,0.0,0.0,2.5066349506378174,1.196823653654378,6.2,1962,356,0.0,-10,0.0,-10.0,0.0
"""What if Honeywell thermostat is not displaying fan control options?""",0.0,0.8454515933990479,1.182799828881282,5.6,379,73,0.0,-17,0.0,-17.0,0.0,0.0,2.204822301864624,1.3606538710457554,5.95,1690,318,0.0,-16,0.0,-16.0,0.0
"""How to troubleshoot Honeywell thermostat that is not recognizing system type?""",0.0,0.6743519306182861,1.4829052229196429,5.65,257,50,0.0,-21,0.0,-21.0,0.0,0.0,2.522005796432495,1.189529383415423,5.95,1958,363,0.0,-19,0.0,-19.0,0.0
"""How to protect Honeywell thermostat from unauthorized app updates?""",0.0,0.48224616050720215,2.0736297805835333,5.5,156,25,0.0,-2,0.0,-2.0,0.0,0.0,2.1354281902313232,0.9365803116905322,5.95,1787,303,0.0,0,0.0,0.0,0.0
"""How to avoid unauthorized Honeywell thermostat control via deprecated integrations?""",0.0,0.8400678634643555,1.190380019866373,5.6,455,68,0.0,-21,0.0,-21.0,0.0,0.0,1.9400925636291504,1.5463179727818208,6.2,1607,272,0.0,-21,0.0,-21.0,0.0
"""How to secure Honeywell thermostat firmware updates?""",0.0,0.8007404804229736,2.497688138538789,5.6,401,65,0.0,-5,0.0,-5.0,0.0,0.0,2.7832164764404297,1.0778895660451597,6.25,2259,395,0.0,-14,0.0,-14.0,0.0
"""How to prevent unauthorized mobile devices from accessing Honeywell thermostat?""",0.0,0.7804083824157715,1.281380393306744,5.699999999999999,398,62,0.0,-21,0.0,-21.0,0.0,0.0,2.5490336418151855,1.5692221296662998,5.9,2159,370,0.0,0,0.0,-23.0,0.0
"""How to secure Honeywell thermostat after updating Wi-Fi credentials?""",0.0,0.5598182678222656,1.7862939769541193,5.65,213,37,0.0,-7,0.0,-7.0,0.0,0.0,2.418677568435669,1.240347220791578,5.9,1906,350,0.0,-17,0.0,-17.0,0.0
"""How to protect Honeywell thermostat from being controlled by unauthorized apps?""",0.0,1.2991209030151367,1.5395025939144709,5.8,784,133,0.0,-21,0.0,-21.0,0.0,0.0,2.1105573177337646,1.4214255044356714,5.85,1631,304,0.0,-20,0.0,-20.0,0.0
"""How to resolve Kasa Smart Bulb not responding to Google Assistant?""",0.0,0.6528947353363037,1.5316404710855949,5.65,248,42,0.0,-7,0.0,-7.0,0.0,0.0,2.157991647720337,0.9267876463345334,5.9,1533,301,0.0,-1,0.0,-1.0,0.0
"""Why is Kasa Smart Bulb flickering?""",0.0,0.8551578521728516,1.1693747504731709,5.85,364,68,0.0,-21,0.0,-21.0,0.0,0.0,2.064819812774658,0.9686075209212145,6.0,1588,284,0.25,-17,1.0,-17.0,0.0
"""How to fix Kasa Smart Bulb not working with Alexa after an update?""",0.0,1.0791590213775635,1.8532949828344767,5.85,454,101,0.0,-13,0.0,-13.0,0.0,0.0,3.701829195022583,1.0805468835186256,5.8,2585,574,0.0,-18,0.0,-18.0,0.0
"""What if Kasa Smart Bulb is not changing colors when using voice commands?""",0.0,0.7711606025695801,1.2967467433741,5.7,334,58,0.0,-5,0.0,-5.0,0.0,0.0,2.4324026107788086,1.233348454201947,5.95,1907,346,0.0,-17,0.0,-17.0,0.0
"""How to troubleshoot Kasa Smart Bulb that is not updating firmware?""",0.0,0.6084122657775879,3.287244706421435,5.699999999999999,168,41,0.0,-20,0.0,-20.0,0.0,0.0,3.377418279647827,1.1843365756926638,5.95,2352,479,0.0,-21,0.0,-21.0,0.0
"""How to fix Kasa Smart Bulb that wont link with Google Home?""",0.0,0.7512335777282715,1.3311439073624585,5.6,277,56,0.0,0,0.0,0.0,0.0,0.0,3.0642905235290527,1.3053592566651393,6.2,2172,454,0.0,-8,0.0,-8.0,0.0
"""Why is Kasa Smart Bulb not responding after a Wi-Fi extender is removed?""",0.0,0.7644200325012207,1.3081813106447007,5.75,327,63,0.0,-5,0.0,-5.0,0.0,0.0,2.2769086360931396,1.7567678986293085,5.85,1643,315,0.0,-12,0.0,-12.0,0.0
"""Why is Kasa Smart Bulb not following automation schedules after firmware update?""",0.0,0.9397518634796143,0.0,5.65,440,70,0.0,-4,0.0,-4.0,0.0,0.0,1.9052314758300781,1.5746118191190956,5.95,1452,266,0.0,-21,0.0,-21.0,0.0
"""How to troubleshoot Kasa Smart Bulb that wont turn on after a firmware rollback?""",0.0,1.381044626235962,2.1722686892296026,5.8,688,148,0.0,-11,0.0,-11.0,0.0,0.0,2.776975154876709,1.080312149977916,6.05,2007,386,0.0,-21,0.0,-21.0,0.0
"""How to protect Kasa Smart Bulb from cyber attacks?""",0.0,0.7406344413757324,1.3501937583975918,5.2,339,62,0.0,0,0.0,-27.0,0.0,0.0,2.2686822414398193,1.3223535430399491,6.15,1778,323,0.0,-6,0.0,-6.0,0.0
"""How to restrict Kasa app access to specific devices?""",0.0,0.5233249664306641,1.910858575732755,5.35,158,26,0.0,-1,0.0,-1.0,0.0,0.0,1.2826218605041504,1.5593060289908651,5.9,905,183,0.0,-18,0.0,-18.0,0.0
"""How to ensure Kasa system is secure after adding new devices?""",0.0,0.5460090637207031,1.831471428672173,5.45,204,35,0.0,-25,0.0,-25.0,0.0,0.0,3.235978126525879,1.5451278730883518,5.85,2621,465,0.0,-3,0.0,-3.0,0.0
"""How to prevent Kasa Smart Bulb from being hacked?""",0.0,0.5538582801818848,1.805516024193257,5.699999999999999,176,35,0.0,-2,0.0,-2.0,0.0,0.0,2.2198431491851807,1.351446835828022,6.0,1816,317,0.0,-18,0.0,-18.0,0.0
"""How to protect Kasa Smart Bulb firmware updates from unauthorized changes?""",0.0,0.5144376754760742,1.9438700695377436,5.6,163,28,0.0,-21,0.0,-21.0,0.0,0.0,2.775351047515869,1.080944337721308,5.95,2280,395,0.0,-4,0.0,-4.0,0.0
"""How to prevent unauthorized smart hubs from controlling Kasa Smart Bulb?""",0.0,0.6183712482452393,1.6171515134932706,5.35,171,31,0.0,-15,0.0,-15.0,0.0,0.0,2.897400379180908,1.7256848711444828,5.95,2266,408,0.0,-18,0.0,-18.0,0.0
"""How to maintain Kasa system integrity after network changes?""",0.0,0.5382542610168457,1.857858028118413,5.3,192,33,0.0,0,0.0,0.0,0.0,0.0,2.7652695178985596,1.44651361254641,6.1,2203,418,0.0,-10,0.0,-10.0,0.0
"""How to manage privacy when linking Kasa Smart Bulb with smart hubs?""",0.0,0.6924166679382324,1.4442171113213544,5.85,306,49,0.0,-21,0.0,-21.0,0.0,0.0,2.1314215660095215,0.9383408856766103,6.0,1628,307,0.0,-14,0.0,-14.0,0.0
"""How to check for vulnerabilities in Kasa Smart Bulb firmware?""",0.0,0.6485917568206787,1.5418018953900914,5.45,273,47,0.0,0,0.0,-26.0,0.0,0.0,2.69474458694458,1.1132780503704975,6.2,2157,383,0.0,0,0.0,-23.0,0.0
"""How to revoke voice assistant access to Kasa Smart Bulbs for privacy?""",0.0,1.535309076309204,1.3026693001825331,5.85,965,168,0.0,-21,0.0,-21.0,0.0,0.0,1.4925777912139893,2.009945490051227,5.95,1021,218,0.0,-4,0.0,-4.0,0.0
"""Why is LIFX bulb not reconnecting automatically after a network drop?""",0.0,0.5949971675872803,1.6806802695449812,5.6,175,35,0.0,0,0.0,-25.0,0.0,0.0,2.1005747318267822,1.4281805615125287,5.9,1552,295,0.0,0,0.0,0.0,0.0
